subject,my_mac,their_mac,rssi,local_time
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683311589
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-97,1683311619
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AD,-90,1683311650
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-95,1683311680
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-96,1683311680
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683311710
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-93,1683311710
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-95,1683311740
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-89,1683311771
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-95,1683311831
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-96,1683311892
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-95,1683311922
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-85,1683311953
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-85,1683311983
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-85,1683312013
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-86,1683312043
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-86,1683312073
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-85,1683312103
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-99,1683312163
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-96,1683312224
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-86,1683312314
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-90,1683312406
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683312436
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-87,1683312436
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-97,1683312466
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-87,1683312466
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-95,1683312496
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AD,-96,1683312496
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-84,1683312496
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AD,-95,1683312557
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-93,1683312739
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-95,1683312799
